name,content,author,region,people,start,end
Niezalezny Samorzadny Informator,"['""Niezależny Samorządny Informator"", biuletyn informacyjny, wydawany w Szczecinie w okresie V-XII 1982 . Twórcą i redaktorem był Ryszard Dąbrowski. Łącznie ukazało się 17 nr. pisma, większość w formacie A4, sporadycznie A5, w nakładzie 7-8 egzemplarzy. \n\n\tBiuletyn  \n przepisywano na maszynie na tzw. papierze przebitkowym.', 'Informacje do pisma dostarczali: Longin Komołowski (z terenu Stoczni Szczecińskiej im. A. Warskiego), Alina i Jerzy Słoneccy (z Politechniki Szczecińskiej), Sławomira Milczanowska (z ZK w Potulicach, gdzie przebywali skazani szczecińscy działacze „S”), jak również żony internowanych w Wierzchowie Pomorskim oraz znajomi Ryszarda Dąbrowskiego.', 'Biuletyn zawierał informacje dot. bieżących wydarzeń w Szczecinie i okolicach. Spełniał rolę serwisu informacyjnego, który był źródłem informacji dla redakcji innych pism. Przekazywany warszawskim pismom podziemnym: „Tygodnik Wojenny"" i „Tygodnik Mazowsze"" oraz szczecińskich: „Feniks"", „Prolet"", „Biuletyn Informacyjny"" i „Z podziemia"", w których można znaleźć przedruki informacji z „NSI”. Odbiorcami pisma w Warszawie byli: Joanna i Mateusz Wyrwich, Aleksandra Korewa oraz ks. Stanisław Małkowski, za którego pośrednictwem pismo docierało do akredytowanych w Warszawie dziennikarzy telewizji niemieckiej i francuskiej. W nr. 15, z XI 1982, zamieszczono m.in.: List więzionych w sprawie statutu więźnia politycznego do Min. Sprawiedliwości prof. Sylwestra Zawadzkiego, datowany marzec-kwiecień 1982 oraz List więzionych w Potulicach do Komisji Praw Człowieka ONZ w Genewie, datowany październik 1982.', '', 'Marta Marcinkiewicz', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Marta Marcinkiewicz'],Pomorze Zachodnie,,,
Niezalezny Samorzadny Zwiazek Zawodowy Rolnikow Indywidualnych Solidarnosc,"['Niezależny Samorządny Związek Zawodowy Rolników Indywidualnych „Solidarność”, pierwszy w historii Polski związek zawodowy rolników, zarejestrowany 12 V 1981. Chociaż tradycja związków zawodowych rolników na świecie ma ponad 100 lat, to w II RP, mimo silnie rozwiniętej reprezentacji politycznej wsi nie powstały żadne organizacje związkowe. Później, pod rządami komunistów, do końca l. 70. ich powstanie nie było możliwe.']",['Józef Baran'],Polska,,,
Niezalezny Zespol Wspolpracy Naukowej,"['Niezależny Zespół Współpracy Naukowej, utworzony 3 V 1978 przez wrocławskiego działacza ROPCiO, Leszka Skonkę z Wrocławia, jako przeciwwaga dla TKN. NZWN miał stać się instytucją ogólnopolską, skupiającą osoby o zainteresowaniach naukowych, badawczych i twórczych, pozbawione możliwości realizacji swoich aspiracji badawczych w istniejących placówkach. Nie rozwinął szerszej działalności. W inicjatywę zaangażowało się kilka osób. Pod szyldem NZWN wydawano dwa pisma o niewielkim nakładzie, redagowane przez L. Skonkę: „Wiadomości Naukowe” i „Refleksje Propozycje Działania”.', '', 'Grzegorz Waligóra', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Grzegorz Waligóra'],Dolny Śląsk,,,
Niezlomni,"[""Niezłomni, wydawnictwo związane z Ruchem Katolickiej Młodzieży Niepodległościowej w Warszawie, założone przez Wiesława Gęsickiego i Roberta Nowickiego, działające 1988-1990. Wydano: Huberta Czumy, ''Młodzi, brońcie swej godności!'' (1988), Władysława Andersa, ''Bez ostatniego rozdziału'' (1989), Łukasza Czumy, ''Niemarksistowska teoria ekonomii'' (1989), Stanisława Kluza, ''W potrzasku dziejowym'' (1989), Ewy Ostrołęckiej (właśc. Stefan Niesiołowski), ''„Ruch” przeciw totalizmowi'' (1989), ''Poeta pamięta. Antologia poezji świadectwa i sprzeciwu 1944-1984'' (1989) [Wybór i wstęp: Stanisław Barańczak. Przedruk z wyd.: Londyn: Puls 1984]. Drukowano techniką sitodruku lub na offsecie, na sprzęcie poligraficznym „Wiadomości” lub u Roberta Nowaka, w nakł. 500 egz. Druk: R. Nowicki i in.""]",['Anna Grażyna Kister'],Mazowsze,,,
Nonparel,"['""Nonparel"", podtytuł „Organ codzienny lub nie NZS Instytutu Poligrafii PW”, pismo satyryczne wydawane 21 XI – 5 XII 1981 (w czasie strajku w radomskiej WSI) przez NZS Instytutu Poligrafii Politechniki Warszawskiej. Nr z 3 XII 1981 jako „nr prowospowski”.', 'Ukazało się co najmniej 6 nr. oznaczonych datą dzienną, nienumerowanych, w formacie A4, drukowanych na powielaczu w poligrafii wydziałowej PW.', 'W składzie redakcji: Konrad Głowik (redaktor naczelny) i członkowie NZS z Instytutu Poligrafii, podpisujący się: Element Antysocjalistyczny, MSW wie, Nocna zmiana.', 'Kolportowane na terenie PW.']",['Anna Grażyna Kister'],Mazowsze,,,
NOW a 2,"['NOW-a 2, podziemna oficyna wydawnicza funkcjonująca w\xa0l.\xa01979–1981, powstała w\xa0wyniku usamodzielnienia się części Niezależnej Oficyny Wydawniczej odpowiedzialnej za druk materiałów Towarzystwa Kursów Naukowych (na zlecenie Komisji Programowej TKN). Inicjatorem powstania i\xa0gł. organizatorem wydawnictwa był Adam Kersten, który odpowiadał m.in.\xa0za zdobywanie materiałów drukarskich i\xa0organizację transportu. W\xa0prace zw.\xa0z poligrafią NOW-ej 2 zaangażowani byli również Krystyna Kersten, Grzegorz Kersten i\xa0Małgorzata Kersten, Małgorzata i\xa0Andrzej Lifschesowie (A. Lifsches pełnił również funkcję skarbnika wydawnictwa), Janusz Feliks, Jacek Kraus, Bronisław Lewandowski, Agnieszka Mataczyńska, Andrzej Pawłowski, Andrzej Święcki, Piotr Stańczyk, Piotr Bigoś, Jan Strękowski, Ewa Nawój. Z\xa0wydawnictwem współpracował m.in.\xa0Krzysztof Wyszkowski. Merytoryczny program wydawnictwa tworzyli działacze TKN: Stefan Amsterdamski, Andrzej Drawicz, Jerzy Jedlicki, Jan Kotarbiński (autor okładki wydanego przez NOW-ą 2 w\xa01981\xa0r.\xa0Transatlantyku Witolda Gombrowicza), również zaangażowani w\xa0przechowywanie papieru na potrzeby oficyny (w przewożenie papieru angażowali się m.in.\xa0Tomasz Szarota, Antoni Mączak i\xa0Józef Duriasz). Pod szyldem NOW-ej 2 ukazały się m.in.\xa0cykl wykładów TKN: Forma i\xa0treść umowy społecznej Jerzego Jedlickiego (1980), Józef Piłsudski. Ewolucja myśli politycznej Marcina Króla (1981), Życie naukowe a\xa0monopol władzy (casus Łysenko) Stefana Amsterdamskiego (1981). Pod koniec 1981 NOW-a 2 przygotowywała do wydania (offsetowego) Kuriera z\xa0Warszawy Jana Nowaka-Jeziorańskiego; przygotowania przerwało wprowadzenie stanu wojennego. Wydawnictwo wówczas przestało właściwie funkcjonować; Adam Kersten swoje zapasy papieru przekazał „Tygodnikowi Wojennemu”.', 'Jan Olaszek', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Jan Olaszek'],Mazowsze,,,
Nowa Gazeta,"['""Nowa Gazeta"", czasopismo społeczno-polityczne założone przez Krzysztofa Czabańskiego i Józefa Orła, wydawany 12 II – 24 XII 1989, z przerwą na wakacje, dwutygodnik.', 'Ukazało 12 nr. w formacie A4, drukowanych techniką offsetową w Wydawnictwie Ciąg Dalszy, założonym przez redakcję „CDN-Głos Wolnego Robotnika”.', 'W składzie redakcji: K. Czabański, J. Orzeł.', 'Zamieszczano publikacje dot. przemian politycznych i gospodarczych w 1989: uwłaszczenia nomenklatury, nowych procesów w życiu gospodarczym, decyzji rządu, wolności prasy, oraz wywiady z politykami i działaczami „S”, np. z Lechem Wałęsą i Władysławem Siłą-Nowickim. Przed wyborami do Sejmu i Senatu 4 VI 1989 prowadzono kampanię wyborczą na rzecz KO.']",['Anna Grażyna Kister'],Mazowsze,,,
Nowa Huta,"['""Nowa Huta"", podtytuł: „Pismo zakładów pracy Nowej Huty”, wydawane przez Porozumienie Prasowe \n\n\tSolidarność Zwycięży  \n 15 V 1984 – III 1985 (nie wychodziło IX-XII 1984).', 'Ukazało się 8 nr. o obj. 2 s. w formacie A4, drukowanych na powielaczu. W założeniu miesięcznik, w praktyce ukazywało się nieregularnie.', 'W składzie redakcji: Stanisław Zgórski (założyciel pisma, 1980-1981 wydawca pisma „Kolumna Nowa Huta”), Joanna Zgórska, Marian Stachniuk (dostawca matryc białkowych, ramek, farb, instruktor drukarski), Andrzej Zgórski, Beata Windak; współpracownicy: Kazimierz Kucharzyk, Krzysztof Owczarek, M. Kapturkiewicz, Celestyna Kołaczkowska, rodzina państwa Windaków.', 'W zamierzeniu pismo WTKS w Nowej Hucie (zatrudniającej ok. 100 pracowników), ostatecznie ze względów bezpieczeństwa pismo zakładów pracy Nowej Huty (z tytułu zniknęło słowo „Kolumna”).', 'Lokalne pismo zakładowe skierowane do pracowników przedsiębiorstw Nowej Huty.']",['Piotr Hlebowicz'],Małopolska,,,
Nowsze Drogi,"['""Nowsze Drogi"", pismo studentów Wydz. Filozoficzno-Historycznego Uniwersytetu Łódzkiego, następnie Uczelnianej Komendy Ochotniczych Hufców Pracy UŁ (nr. 14-19), Okręgowej Rady Związku Młodzieży Demokratycznej (od nr. 20), założone w czasie strajku studentów łódzkich uczelni, wydawane w Łodzi I-X 1981.', 'Ukazały się 22 nr. o obj. 2-16 s. w formacie A4, A5 i A6, drukowane na powielaczu (częściowo również na kserografie) i offsecie (nr. 21-22) w nakładzie 500 egz.', 'W składzie redakcji w różnych okresach: Jacek Matysiak (redaktor naczelny), Małgorzata Ziarek (sekretarz redakcji), Danuta Wodzyńska (sekretarz redakcji), Anna Burakowska, Urszula Celmer, Irena Dawid-Olczyk, E. Gilowska (od nr. 7), Andrzej Martula, Elżbieta Pawłowska, Bolesław Samiec, Dariusz Sowiński, Jacek Szczeciński, J. Szewczyk (od nr. 2), J. Ziemba, Ewa Żurek; współpracownicy: Jolanta Babińska, Andrzej Budziłło, Janusz Frenkiel (od nr. 4), Andrzej Goździkowski, Katarzyna Kurowicz, Krzysztof Leski, G. Myszkorowska (od nr. 2), Marek Palczewski, Andrzej Staroń (od nr. 5), Kazimierz Śwircz, M. Wasiewicz, Z. Wdowiak; adres redakcji: Wydz. Filozoficzno-Historyczny UŁ, Łódź, ul. Buczka 27a (do nr. 10); następnie VII DS UŁ, ul. Rodzeństwa Fibaków 3, p. 118 (nr. 11-14), następnie III DS. UŁ, ul. Rodzeństwa Fibaków 1, p. 13 (nr. 15-22).', 'Zamieszczano głównie informacje bieżące i relacje dot. strajku, wywiady, m.in. z Karolem Głogowskim i Zdzisławem Jaskułą, przedruki z pism niezależnych, teksty satyryczne. Ostatnie nr. informowały o założeniach programowych i działalności ZMD.']",['Włodzimierz Domagalski'],Ziemia Łódzka,,,
NTO,"['""NTO"", podtytuł: „Informator wewnętrzny dla Kół Nauki, Oświaty, Techniki NSZZ «Solidarność» Region Mazowsze”, pismo wydawane 16 XI 1980 – IX/X 1981 (jako kontynuacja pisma „Nauka, Technika, Oświata”).', 'Ukazało się 16 nr. w formacie A5, drukowanych techniką offsetową w nakładzie 2-10 tys. egz., wychodziło nieregularnie (nr 1 ukazał się jako nr 7, od nr. 8 miesięcznik); wydania specjalne: nr 9 z 1980 zawierał protesty w związku z aresztowaniem 20 XI 1980 Jana Narożniaka, nr 10 dokumenty nauczycielskiego strajku okupacyjnego w Gdańsku, nr z 6 I 1981 uchwałę TKN, nr z 10 I 1981 poświęcono obronie prasy związkowej; w III 1981 ukazał się „Dodatek nadzwyczajny pism Regionu Mazowsze” wydany wspólnie z pismem „Niezależność”.', 'W składzie redakcji: Wojciech Kamiński, Piotr Ogrodziński, Józef Orzeł (sekretarz redakcji), Jerzy Smagowicz, Włodzimierz Wypych, Zbigniew Zawadzki, Henryk Szlajfer (od nr. 8 do wiosny 1981), od nr. 16: Andrzej Drawicz, Agnieszka Maciejowska, Mirosław Malcharek, Barbara Markiewicz, Marek Rapacki, Tadeusz Wypych; Maciej Stasiński (od nr. 18), Adam Romaniuk (od nr. 22); siedziba redakcji: ul. Szpitalna 5 w Warszawie, od nr. 19 (7 w 1981) ul. Mokotowska 16/20. Druk w poligrafii Regionu Mazowsze.', 'Zamieszczano teksty publicystyczne dot. sytuacji w oświacie, problemów środowiska, roli nauczyciela, materiały uzupełniające wiedzę nauczycieli, np. nt. faktów z historii Polski nieobjętych oficjalnym nauczaniem.', 'Kolportaż przez struktury Regionu Mazowsze.']",['Anna Grażyna Kister'],Mazowsze,,,
Obecnosc Torun,"['""Obecność"", podtytuł: „Pismo prognoz i analiz społecznych”, wydawane II-X 1982 w Toruniu.', 'Ukazało się 8 nr. (po nr. 7 następuje 9.) o obj. 4 s. w formacie A4, drukowanych na powielaczu w nakładzie 500 egz.; wychodziło nieregularnie.', 'W składzie redakcji: Adam Tomasz Bensch, Adam Czarnota, Ryszard Lorenczewski, Andrzej Zybertowicz (uważany za redaktora naczelnego, choć sam tego nie potwierdza); pismo podpisywano: „redaguje T. Tołkoska z zespołem”. Druk: Roman Klonowski, Marek i Wiesław Szubrychowie (w domach M. i W. Szubrychów).', 'Publikowano krótkie teksty publicystyczne pisane z pozycji lewicowych, lecz popierające „S” i ostro atakujące władze (hasło z nr. 7: „WRON do Wronek”). Lewicowość pisma sprawiła, że po kilku mies. nie chciano go przyjmować do kolportażu regionalnego; wówczas kolportażem zajął się A. Zybertowicz.', '5 VII 1982 aresztowano drukarzy (bracia M. i W. Szubrychowie zostali podczas aresztowania ciężko pobici), następnego dnia A. Zybertowicza, którego zwolniono 14 IX 1982 ze względu na stan zdrowia (sprawę przeciwko niemu umorzono na mocy amnestii w 1983); drukarze i kolporterka pisma w Merinoteksie, Marianna Kosicka (aresztowana 16 VII 1982), zostali 20 I 1983 skazani wyrokiem Sądu Pomorskiego Okręgu Wojskowego na kary więzienia w zawieszeniu. W X 1982 ukazał się ostatni nr przygotowany przez A.T. Benscha. Dla zdezinformowania SB został oznaczony nr. 9.']",['Krzysztof Biernacki'],Toruń,,,
Oboz,"['""Obóz"", pismo wydawane w Warszawie 1 IX 1981 – 1990, podtytuł „Niezależne pismo poświęcone problemom krajów ościennych”.', 'Ukazało się 19 nr. o obj. 81-227 s. w formacie A4, drukowanych na powielaczu (nr. 1-6) i w formacie A5 na offsecie (nr. 7-19), w nakładzie 1-2 tys. egz.; pierwsze nr. wydane przez wydawnictwo Krąg, nr. 4-6 przez Spółkę Wydawniczą Przyszłość, nr. 7-19 przez wydawnictwo CDN; wychodziło nieregularnie.', 'W składzie redakcji w różnych okresach: Jerzy Targalski (założyciel pisma, redaktor naczelny do końca 1983), Jan Malicki (redaktor naczelny od 1984, ps. Tadeusz Lubicz), Andrzej Ananicz (redaktor naczelny od V 1985, po aresztowaniu J. Malickiego, ps. Stanisław Tojad, S.T., Piotr Zams), Robert Bogdański (ps. Jan Kaszka, a.r., Aleksander Romert), Wojciech Maziarski (ps. Kazimierz Bielski, Wiesław Szukalski, W.M.), Marek Pernal (ps. Adam Jerke, Michał Dobiecki), Kazimierz Stembrowicz (ps. Witold Ster, W.S.), Krzysztof Dębnicki, Iwanczo Gyłybow, Leszek Hensel, Andrzej Jarociński, Edwin Sungarew, Grażyna Szwat-Gyłybow, Aleksander Torbanow, Krzysztof Turlejski (ps. Jan Załęski). Skład redakcji podano w nr. 18 (z 1990). Współpracownicy m.in.: Jerzy Buława (ps. Konstanty Tołłoczko), Grażyna Gyłybow (ps. Ewa Ptaszyńska), Andrzej Kopacki (ps. Michał Wander, M.W.), Halina Kuligowska (ps. Anna Karel), Włodzimierz Korzycki (ps. Jan Ekehart), Ilona Maziarska (ps. Ewa Wilkosz), Piotr Semka (ps. Jacek Opolski), Irena Tatarzyńska (ps. I.T.).', 'Publikowano artykuły dot. problematyki krajów komunistycznych. Każdy z redaktorów zajmował się innym obszarem (i przygotowywał koncepcję kolejnych nr., wybierając wiodący temat), np. A. Ananicz sprawami narodowościowymi ZSRS, W. Maziarski Węgrami. Początkowo pismo miało zamieszczać materiały z niezależnych wydawnictw z krajów bloku komunistycznego i zachodnich rozgłośni, szybko jednak zaczęto publikować własne wywiady i teksty dot. historii, np. wydarzeń w Berlinie w 1953, Budapeszcie w 1956 i Pradze w 1968; omawiano sytuację opozycji demokratycznej w krajach komunistycznych; opisywano kierunki sowieckiej ekspansji, szczególnie sytuację w Afganistanie, Nikaragui, Etiopii i Angoli. Zwracano szczególną uwagę na zniewolone narody ZSRS: Litwinów, Łotyszy, Estończyków, Ukraińców, Gruzinów, Ormian i in. Poruszano problematykę funkcjonowania służb specjalnych w krajach komunistycznych (nr 6). Omawiano problemy gospodarcze, narodowościowe i religijne oraz wykorzystywanie psychiatrii jako metody zwalczania opozycji, rejestrowano metody represji wobec dysydentów. Zamieszczano wywiady z czołowymi działaczami i sowietologami, m.in.: Alainem Besançonem, Władimirem Bukowskim, Michaiłem Hellerem, Milovanem Dżilasem, Wiktorem Korcznojem, George’em Urbanem. Prezentowano sylwetki wybitnych dysydentów, w tym: Wiaczesława Czornowiła, Ivana Klimy, Balysa Gajauskasa, Andrieja Sacharowa.', 'Redakcja „Obozu” równolegle wydawała miesięcznik „Biuletyn Informacyjny «Obozu»” (50 nr.) i serię książek zatytułowaną Biblioteka „Obozu”.', 'Wśród osób zajmujących się kolportażem i tłumaczeniem z jęz. węgierskiego był m.in. Ákos Engelmayer.']",['Włodzimierz Domagalski'],Mazowsze,,,
Obrona Rzeszow,"['""Obrona"", pismo wydawane w Rzeszowie przez Koło Oporu Społecznego MAKI we współpracy z RKW „S” Rzeszów I-XI 1982; podtytuł: „Biuletyn Oporu Społeczeństwa Rzeszowskiego”.', 'Ukazały się 22 nr. o obj. 1-2 s. w formacie A4, drukowane na powielaczu lub techniką sitodruku w nakładzie ok. 500 egz.; ukazywało się co 2-3 tygodnie. Dodatki specjalne: „Wrona żyje 100 dni”, „Sprawa licealistów z Jarosławia”.', 'W składzie zespołu: Jan Klaudiusz Laskosz (wydawca, redaktor i drukarz) we współpracy z Markiem Szczygłem, Stanisławem Korczykowskim, Andrzejem Kubikiem i Stanisławem Klisiem (sprawy organizacyjne i kolportaż), Barbarą Marczuk (przepisywanie matryc).', 'Publikowano bieżące informacje i komentarze (głównie z nasłuchu zachodnich rozgłośni polskich), przedruki publicystyki politycznej i społecznej z pism podziemnych m.in. krakowskich, lubelskich i warszawskich.', 'Pismo przestało wychodzić po zatrzymaniu J.K. Laskosza 14 IV 1983.']",['Michał Stręk'],Rzeszów,,,
Obrona,"['„Obrona”, podtytuł nr 1: „Biuletyn Informacyjny Komitetu Obrony Więzionych za Przekonania”, n-ry 2–8 „Biuletyn Informacyjny Łódzkiego Komitetu Obrony Więzionych za Przekonania”, pismo KOWzP w Łodzi, wydawane 12 V – 23 IX 1981. Ukazało się 8 n-rów (n-ry 1–6 jako dodatek do „Solidarności Ziemi Łódzkiej”), obj. 2–4 s., format A4, druk techniką sitodruku i na offsecie, nakł. 2–3 tys. egz., drukowane w Zakładzie Poligraficznym ZR Ziemi Łódzkiej. W redakcji: Zbigniew Kubiak, Andrzej Suchorzewski (nr 1), Wojciech Kuberski, Piotr Radowski, Anna Jopkiewicz (redaktor techn.); adres redakcji: Łódź, ul. Niciarniana 41/45). Publikowano informacje o działalności KOWzP w kraju i regionie łódzkim, poruszano problematykę zw. z sytuacją więźniów politycznych, zwłaszcza więzionych przywódców KPN.', 'Włodzimierz Domagalski', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Włodzimierz Domagalski'],Ziemia Łódzka,,,
Obszar III,"['""Obszar III"", pismo KPN Obszar Łódź, wydawane V 1986 – 15 IX 1987.', 'Ukazały się 3 nr. o obj. 4-8 s. w formacie A5, drukowane techniką sitodruku w nakładzie 1 tys. egz.', 'W składzie redakcji: Aleksander Staniak, Aleksandra Więckiewicz, Wiesław Żyżniewski; sygnowane przez Drukarnię im. Hieronima Dobrowolskiego, druk: A. Więckiewicz i Paweł Kozłowski w mieszkaniu przy ul. Brackiej 45 w Łodzi.', 'Pismo informacyjne, adresowane głównie do członków i sympatyków KPN.', 'Kolportowane na terenie aglomeracji łódzkiej i przez sieć dystrybucji KPN na terenie całego kraju.']",['Włodzimierz Domagalski'],Ziemia Łódzka,,,
Obywatelski Komitet Poszukiwan Mieszkancow Suwalszczyzny Zaginionych w Lipcu 194,"['Obywatelski Komitet Poszukiwań Mieszkańców Suwalszczyzny Zaginionych w Lipcu 1945 r., powołany przez działaczy opozycji w celu wyjaśnienia sprawy obławy augustowskiej (pacyfikacji Puszczy Augustowskiej i okolic przez jednostki Armii Czerwonej i NKWD w VII 1945, której efektem był mord na ok. 600 mieszkańcach regionu). Gdy w 1987 zostały odkryte nieznane groby przy drodze Rygol-Giby, przypuszczano, że są to szczątki zatrzymanych w obławie. Ekshumacja wykazała, że były to groby niemieckich żołnierzy. 2 VIII 1987 na fali zainteresowania tematem miejscowi działacze opozycji utworzyli komitet, który postawił sobie za zadanie wyjaśnienie losu zaginionych. W zebraniu założycielskim uczestniczyło 7 b. działaczy „S” z Suwałk i Zbigniew Bujak; zredagowano podpisane nast. przez Piotra Bajera, Mirosława Basiewicza i Stanisława Kowalczyka oświadczenie o zawiązaniu się komitetu; odczytane i rozkolportowane tego dnia podczas mszy w kościele św. Aleksandra w Suwałkach. 11 VIII grupa 56 wybitnych przedstawicieli świata nauki, kultury i opozycji skierowała do Rady Państwa pismo informujące o utworzeniu komitetu, z prośbą o udzielenie pomocy i niepodejmowanie represji wobec jego członków. 5 IX Urząd Wojewódzki w Suwałkach zakazał komitetowi prowadzenia działalności; mimo to jego członkowie, poza wymienionymi m.in. Alicja Maciejowska, Maria Chwalibóg, Danuta i Jan Krzywoszowie, z pomocą środowiska b. żołnierzy AK, rozpoczęli zbieranie nt. zaginionych relacji, dokumentów, zdjęć, ankiet personalnych. Staraniem i przy pomocy komitetu powstały audycje radiowe, artykuły prasowe, film dokumentalny A może tego nie wolno mówić Jacka Petryckiego (1988), raport z dwuletnich prac Komitetu („Tygodnik «Solidarność»” 1989, nr 4 z 23 VI), książka Nie tylko Katyń Ireneusza Sewastianowicza i Stanisława Kulikowskiego (1990). Przeprowadzono także ponowną ekshumację grobów przy Rygoli (1989) i ufundowano w Gibach pomnik poświęcony ofiarom obławy (1991). Członkowie komitetu byli inwigilowani przez SB, zdarzały się anonimowe groźby, S. Kowalczyk został pobity. Działania komitetu skonsolidowały suwalską opozycję i zapewniły jej stały kontakt z Regionem Mazowsze, co miało duże znaczenie przy odbudowie działalności związkowej w regionie w l. 1988–1989.', 'Członkowie Komitetu zostali uhonorowani m.in. medalami Za Zasługi dla Miasta Augustowa (2006) i Nagrodą Kustosza Pamięci Narodowej (2007).', 'Marcin Zwolski', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Marcin Zwolski'],Pojezierze,,,
Od Dolu,"['""Od Dołu"", pismo wydawane przez KOS Regionu \n\n\tPomorze  \n Zachodnie II 1982 – 27 XI 1986.', 'Ukazało się 67 nr. o obj. 1–2 s. w formacie A4; drukowanych techniką powielaczową w nakładzie kilkuset egz.; wychodziło nieregularnie (numeracja z brakami, podwójna, od nr. 50 ciągła).', 'W składzie redakcji Jerzy i Leokadia Kernerowie oraz Juliusz Prandecki.', 'Publikowano głównie informacje (np. o oficjalnym i nieoficjalnym pochodzie 1-majowym), komunikaty, krótkie komentarze. W 1982 3 nr. przechwyciła SB w Stoczni Szczecińskiej im. Adolfa Warskiego.']",['Paweł Miedziński'],Pomorze Zachodnie,,,
Od Nowa Biuletyn informacyjny NSZZ Solidarnosc przy ZOUE i A Elmor,"['„Od Nowa. \n\n\tBiuletyn  \n informacyjny NSZZ »Solidarność« przy Z.O.U.E. i\xa0A.\xa0Elmor”, wydawcą biuletynu była Komisja Zakładowa NSZZ „S” działająca w\xa0Zakładach Okrętowych Urządzeń Elektrycznych i\xa0Automatyki Elmor w\xa0Gdańsku. 1 I–28 IX 1981 ukazało się 15 nr., obj. 2–8 s., format A5, druk offsetowy, od nr.\xa09 z\xa028 V 1981 dopisek: „do użytku wewnątrzzwiązkowego”. W\xa0redakcji: Jerzy Kotuła, Marek Odrakiewicz, Roman Puczkowski, Janusz Satora i\xa0Michał Zdybel, od nr.\xa02 z\xa015 I\xa01981 także Emilia Siwińska. Od nr.\xa07 z\xa010 VII 1981 grono redakcyjne tworzyli: M.\xa0Odrakiewicz, J.\xa0Satora i\xa0M.\xa0Zdybel. Redaktorzy akcentowali znaczenie „odnowy moralnej”, chcieli, aby na łamach biuletynu informacyjnego ukazywały się również materiały odzwierciedlające przebieg dyskusji wewnątrzzwiązkowej. Omawiano zagadnienie zw. zaw. w\xa0świetle katolickiej nauki społecznej, przebieg wydarzeń bydgoskich III 1981, zamieszczano teksty obrazujące wewnątrzzwiązkowy spór między Andrzejem Gwiazdą i\xa0Lechem Wałęsą. Dwa ostatnie nr.\xa0ukazały się jako wydania spec. (nr\xa014 z\xa026 IX 1981 i\xa0nr 15 z\xa028 IX 1981), w\xa0całości poświęcone kontrowersjom personalno-programowym wewnątrz „S”. Kolportaż na terenie zakładu pracy.', 'Wojciech Turek', 'Portale tematyczne', 'Mapa serwisu', 'Polityka prywatności', 'Deklaracja dostępności']",['Wojciech Turek'],Gdańsk,,,
Oddzial Solidarnosci Walczacej w Kaliszu,"['Oddział Solidarności Walczącej w Kaliszu, powstał 4 II 1985; przew. Jacek Jakubowski (także członek Związku Młodzieży Demokratycznej), w składzie Zarządu: Mariusz Harendarz, Andrzej Furmaniak, Jerzy Kozłowski; współpracownicy: Henryk Bartczak, Krzysztof Nowicki, Małgorzata Piotrowska i Lucyna Prylińska. Po 13 XII 1981 J. Jakubowski został powołany do wojska i wcielony do Samodzielnej Kompanii Polowej (swego rodzaju kompania karna dla młodych działaczy opozycji). Kaliska Solidarność Walcząca była związana z Wrocławiem. Zajmowała się gł. wydawaniem własnego pisma „Solidarność Walcząca” (druk m.in. w domu J. Jakubowskiego); pismo kolportowano w kaliskich zakładach pracy, m.in. w FWR Runotex, Okręgowej Spółdzielni Mleczarskiej, oraz na klatkach schodowych. 23 IV 1985 aresztowano J. Jakubowskiego, K. Nowickiego i M. Piotrowską za rozpowszechnianie wydawnictw bezdebitowych, 14 VIII 1985 Sąd Rejonowy w Kaliszu skazał J. Jakubowskiego na 1 rok więzienia (zwolniony 11 X 1985), K. Nowicki dostał wyrok w zawieszeniu, M. Piotrowską uniewinniono. Mimo wyjścia na wolność J. Jakubowskiego działalność Solidarności Walczącej w Kaliszu nie została reaktywowana.']",['Grażyna Schlender'],Wielkopolska Południowa,,,
